
Qualification statistics
========================
Population: "RM
Format    : 70.0m at World Archery 122cm, 10 rings target face, Scoring system: Cumulative 72 arrows (q_rm_72a_70m_122cm10rings)
Runs      : 100000

Results
Average number of ties : 56.52
                StdDev :  2.42
Average correctness    : 1.331852
                StdDev : 0.109401


                                                RANKING RESULTS
=================================================================================================================================
| Qualification Rank |   | Elimination Rank | Archers Skill Level | Archers Skill Level Score | Simulated Score |    StdDev(%)  |
|--------------------+---+------------------+---------------------+---------------------------+-----------------+---------------|
|          1(  1)    | + |         0        |       117.00        |         697.0             |       696.5     |  4.187( 0.3%)  |
|          2(  2)    | + |         0        |       116.33        |         695.0             |       695.5     |  4.267( 0.3%)  |
|          3(  3)    | + |         0        |       115.67        |         694.0             |       694.3     |  4.355( 0.3%)  |
|          4(  5)    | + |         0        |       115.00        |         693.0             |       693.2     |  4.418( 0.3%)  |
|          5(  4)    | + |         0        |       115.00        |         693.0             |       693.2     |  4.415( 0.3%)  |
|          6(  6)    | + |         0        |       113.53        |         691.0             |       690.6     |  4.582( 0.3%)  |
|          7(  7)    | + |         0        |       112.07        |         688.0             |       687.9     |  4.750( 0.3%)  |
|          8(  9)    | + |         0        |       110.60        |         685.0             |       685.2     |  4.945( 0.3%)  |
|          9(  8)    | + |         0        |       110.60        |         685.0             |       685.1     |  4.947( 0.3%)  |
|         10( 10)    | + |         0        |       110.11        |         684.0             |       684.2     |  4.983( 0.3%)  |
|         11( 11)    | + |         0        |       109.63        |         683.0             |       683.2     |  5.064( 0.3%)  |
|         12( 12)    | + |         0        |       109.14        |         682.0             |       682.2     |  5.141( 0.3%)  |
|         13( 13)    | + |         0        |       108.66        |         681.0             |       681.2     |  5.176( 0.3%)  |
|         14( 14)    | + |         0        |       108.17        |         680.0             |       680.2     |  5.253( 0.3%)  |
|         15( 15)    | + |         0        |       107.69        |         679.0             |       679.2     |  5.314( 0.3%)  |
|         16( 17)    | + |         0        |       107.20        |         678.0             |       678.2     |  5.373( 0.3%)  |
|         17( 16)    | + |         0        |       107.20        |         678.0             |       678.2     |  5.368( 0.3%)  |
|         18( 18)    | + |         0        |       107.05        |         678.0             |       677.9     |  5.391( 0.3%)  |
|         19( 19)    | + |         0        |       106.91        |         678.0             |       677.5     |  5.402( 0.3%)  |
|         20( 20)    | + |         0        |       106.76        |         677.0             |       677.3     |  5.416( 0.3%)  |
|         21( 21)    | + |         0        |       106.61        |         677.0             |       676.9     |  5.438( 0.3%)  |
|         22( 22)    | + |         0        |       106.47        |         677.0             |       676.6     |  5.455( 0.3%)  |
|         23( 23)    | + |         0        |       106.32        |         676.0             |       676.2     |  5.484( 0.3%)  |
|         24( 24)    | + |         0        |       106.17        |         676.0             |       675.9     |  5.530( 0.3%)  |
|         25( 25)    | + |         0        |       106.03        |         676.0             |       675.6     |  5.505( 0.3%)  |
|         26( 26)    | + |         0        |       105.88        |         675.0             |       675.3     |  5.532( 0.3%)  |
|         27( 27)    | + |         0        |       105.73        |         675.0             |       675.0     |  5.564( 0.3%)  |
|         28( 28)    | + |         0        |       105.59        |         675.0             |       674.6     |  5.583( 0.4%)  |
|         29( 29)    | + |         0        |       105.44        |         674.0             |       674.3     |  5.581( 0.4%)  |
|         30( 30)    | + |         0        |       105.29        |         674.0             |       673.9     |  5.626( 0.4%)  |
|         31( 31)    | + |         0        |       105.15        |         674.0             |       673.6     |  5.672( 0.4%)  |
|         32( 33)    | + |         0        |       105.00        |         673.0             |       673.3     |  5.682( 0.4%)  |
